region_code,priority,active
11.02.02.2029,317,true
11.02.02.2030,318,true
11.02.02.2031,319,true
11.02.02.2032,320,true
11.02.02.2033,321,true
11.02.02.2034,322,true
11.02.02.2035,323,true
11.02.03.2001,324,true
11.02.03.2002,325,true
11.02.03.2005,326,true
11.02.03.2006,327,true
11.02.03.2009,328,true
11.02.03.2011,329,true
11.02.03.2012,330,true
11.02.03.2013,331,true
11.02.03.2014,332,true
11.02.03.2015,333,true
11.02.03.2016,334,true
11.02.03.2017,335,true
11.02.03.2018,336,true
11.02.03.2019,337,true
11.02.03.2020,338,true
11.02.03.2021,339,true
11.02.03.2023,340,true
11.02.03.2025,341,true
11.02.03.2026,342,true
11.02.03.2027,343,true
11.02.03.2028,344,true
11.02.03.2029,345,true
11.02.03.2031,346,true
11.02.03.2033,347,true
11.02.03.2034,348,true
11.02.03.2035,349,true
11.02.03.2036,350,true
11.02.03.2037,351,true
11.02.03.2038,352,true
11.02.03.2039,353,true
11.02.03.2040,354,true
11.02.03.2041,355,true
11.02.03.2042,356,true
11.02.04.2001,357,true
11.02.04.2002,358,true
11.02.04.2003,359,true
11.02.04.2004,360,true
11.02.04.2005,361,true
11.02.04.2006,362,true
11.02.04.2007,363,true
11.02.04.2008,364,true
11.02.04.2009,365,true
11.02.04.2010,366,true
11.02.04.2011,367,true
11.02.04.2012,368,true
11.02.04.2013,369,true
11.02.04.2014,370,true
11.02.04.2015,371,true
11.02.04.2016,372,true
11.02.04.2017,373,true
11.02.04.2018,374,true
11.02.04.2019,375,true
11.02.04.2020,376,true
11.02.04.2021,377,true
11.02.04.2022,378,true
11.02.04.2023,379,true
11.02.04.2024,380,true
11.02.04.2025,381,true
11.02.04.2026,382,true
11.02.04.2027,383,true
11.02.05.2005,384,true
11.02.05.2009,385,true
11.02.05.2011,386,true
11.02.05.2012,387,true
11.02.05.2013,388,true
11.02.05.2014,389,true
11.02.05.2015,390,true
11.02.05.2025,391,true
11.02.05.2026,392,true
11.02.05.2027,393,true
11.02.05.2029,394,true
11.02.05.2030,395,true
11.02.05.2031,396,true
11.02.05.2032,397,true
11.02.05.2033,398,true
11.02.05.2034,399,true
11.02.05.2035,400,true
11.02.05.2036,401,true
11.02.06.2001,402,true
11.02.06.2002,403,true
11.02.06.2003,404,true
11.02.06.2004,405,true
11.02.06.2005,406,true
11.02.06.2006,407,true
11.02.06.2007,408,true
11.02.06.2008,409,true
11.02.06.2010,410,true
11.02.06.2011,411,true
11.02.06.2012,412,true
11.02.06.2013,413,true
11.02.06.2014,414,true
11.02.06.2015,415,true
11.02.06.2016,416,true
11.02.06.2017,417,true
11.02.06.2018,418,true
11.02.06.2024,419,true
11.02.06.2025,420,true
11.02.06.2026,421,true
11.02.06.2027,422,true
11.02.07.2001,423,true
11.02.07.2002,424,true
11.02.07.2003,425,true
11.02.07.2004,426,true
11.02.07.2005,427,true
11.02.07.2006,428,true
11.02.07.2007,429,true
11.02.07.2008,430,true
11.02.07.2009,431,true
11.02.07.2010,432,true
11.02.07.2011,433,true
11.02.07.2012,434,true
11.02.07.2013,435,true
11.02.07.2014,436,true
11.02.07.2015,437,true
11.02.07.2016,438,true
11.02.07.2017,439,true
11.02.07.2018,440,true
11.02.07.2019,441,true
11.02.07.2020,442,true
11.02.07.2021,443,true
11.02.07.2022,444,true
11.02.07.2023,445,true
11.02.07.2024,446,true
11.02.07.2025,447,true
11.02.07.2026,448,true
11.02.07.2027,449,true
